ID,City,Country,Latitude,Longitude,Height,Temperature,Humidity,Pressure,Wind Direction,Wind Speed
21802,SASKYLAH,RUSSIAN FEDERATION,71.9667,114.0833,17,7.3,59,1014.2,E,2.0
23982,VEL' MO,RUSSIAN FEDERATION,61.0,93.4167,121,16.2,46,1009.3,W,3.0
24136,SUHANA,RUSSIAN FEDERATION,68.6167,118.3333,76,11.7,35,1009.6,SE,3.0
24266,VERHOJANSK,RUSSIAN FEDERATION,67.5667,133.4,136,10.9,40,1008.2,N,2.0
24382,UST'-MOMA,RUSSIAN FEDERATION,66.45,143.2333,195,7.9,87,1007.3,W,2.0
24507,TURA,RUSSIAN FEDERATION,64.2667,100.2167,190,9.2,67,1004.5,NW,3.0
24639,NJURBA,RUSSIAN FEDERATION,63.2833,118.3333,119,15.0,33,1003.9,E,4.0
24661,SEGEN-KYUEL',RUSSIAN FEDERATION,64.0,130.3,208,14.5,30,1005.6,NE,1.0
24688,OJMJAKON,RUSSIAN FEDERATION,63.25,143.15,739,11.0,72,1003.6,NW,2.0
24817,ERBOGACEN,RUSSIAN FEDERATION,61.2667,108.0167,290,14.9,48, 998.0,NW,4.0
24944,OLEKMINSK,RUSSIAN FEDERATION,60.4,120.4167,229,15.3,34,1003.1,E,2.0
24962,AMGA,RUSSIAN FEDERATION,60.9,131.9833,146,13.6,42,1006.6,N,1.0
25206,SREDNEKOLYMSK,RUSSIAN FEDERATION,67.45,153.7167,21,10.5,65,1008.4,SE,2.0
29263,ENISEJSK,RUSSIAN FEDERATION,58.45,92.2,78,16.5,51,1011.1,NW,2.0
29467,ACHINSK,RUSSIAN FEDERATION,56.2833,90.5167,257,17.5,41,1012.0,SW,1.0
29866,MINUSINSK,RUSSIAN FEDERATION,53.7167,91.7,254,21.6,49,1010.5,W,2.0
30252,MAMAKAN,RUSSIAN FEDERATION,57.8167,114.0167,249,11.2,81,1000.2,calm,-
30309,BRATSK,RUSSIAN FEDERATION,56.2833,101.75,416,17.2,67,1004.9,NW,2.0
30393,CUL'MAN,RUSSIAN FEDERATION,56.8333,124.8667,858,14.1,35, 999.2,NE,3.0
30710,IRKUTSK,RUSSIAN FEDERATION,52.2667,104.3167,469,18.9,69,1004.1,NW,4.0
31096,SPAFAR' EVA (OSTROV),RUSSIAN FEDERATION,59.15,149.0333,52,5.8,100,1010.0,E,5.0
31152,NEL' KAN,RUSSIAN FEDERATION,57.65,136.15,318,16.0,68, 999.8,N,2.0
31174,BOL'SHOJ SHANTAR,RUSSIAN FEDERATION,54.8333,137.5333,9,9.3,85,1001.1,SE,5.0
31959,RUDNAJA PRISTAN',RUSSIAN FEDERATION,44.3667,135.85,33,13.4,96,1000.6,E,2.0
32027,POGIBI,RUSSIAN FEDERATION,52.2167,141.6333,6,14.0,89,1001.4,S,4.0
32099,MYS TERPENIYA,RUSSIAN FEDERATION,48.65,144.7333,6,8.2,91,1003.8,SE,4.0
32213,MYS LOPATKA,RUSSIAN FEDERATION,50.8667,156.6833,50,7.8,94,1009.2,E,8.0
32333,OZERNOJ (MYS),RUSSIAN FEDERATION,57.65,163.2333,9,10.8,71,1013.3,SE,2.0
